symptom,cause,type,part
Daun hitam oleh walang sangit.,walang sangit,Pest,daun
Daun bercak oleh virus tungro.,virus tungro,Disease,daun
Akar bercak oleh blas.,blas,Disease,akar
Akar bercak oleh busuk akar.,busuk akar,Disease,akar
Pelepah kering oleh virus tungro.,virus tungro,Disease,pelepah
Akar bercak oleh cercospora.,cercospora,Disease,akar
Daun menguning oleh blas.,blas,Disease,daun
Batang kering oleh ulat grayak.,ulat,Pest,batang
Akar bercak oleh penggerek batang.,penggerek,Pest,batang
Akar layu oleh penggerek batang.,penggerek,Pest,batang
Batang hitam oleh walang sangit.,walang sangit,Pest,batang
Pelepah kering oleh cercospora.,cercospora,Disease,pelepah
Daun layu oleh hawar daun bakteri.,hawar daun bakteri,Disease,daun
Pelepah bercak oleh cercospora.,cercospora,Disease,pelepah
Akar menguning oleh virus tungro.,virus tungro,Disease,akar
Pelepah hitam oleh hawar daun bakteri.,hawar daun bakteri,Disease,daun
Daun kering oleh penggerek batang.,penggerek,Pest,daun
Akar bercak oleh cercospora.,cercospora,Disease,akar
Batang menguning oleh penggerek batang.,penggerek,Pest,batang
Daun hitam oleh busuk akar.,busuk akar,Disease,daun
Akar hitam oleh blas.,blas,Disease,akar
Daun kering oleh virus tungro.,virus tungro,Disease,daun
Batang kering oleh busuk akar.,busuk akar,Disease,batang
Daun bercak oleh virus tungro.,virus tungro,Disease,daun
Akar layu oleh busuk akar.,busuk akar,Disease,akar
Akar hitam oleh penggerek batang.,penggerek,Pest,batang
Batang kering oleh penggerek batang.,penggerek,Pest,batang
Akar kering oleh cercospora.,cercospora,Disease,akar
Pelepah bercak oleh cercospora.,cercospora,Disease,pelepah
Daun menguning oleh blas.,blas,Disease,daun
Batang bercak oleh keong mas.,keong mas,Pest,batang
Daun hitam oleh cercospora.,cercospora,Disease,daun
Akar bercak oleh walang sangit.,walang sangit,Pest,akar
Batang bercak oleh virus tungro.,virus tungro,Disease,batang
Batang hitam oleh ulat grayak.,ulat,Pest,batang
Daun layu oleh cercospora.,cercospora,Disease,daun
